temps (s);speed (m/s);power_shaft (W);fuel_cumul (m^3);fuel_consom_cumul (litre)
113.0;0.0;0.0;-0.0008503401360544198;0.8503401360544198
114.0;0.0;0.0;-0.0008577992600548971;0.8577992600548972
115.0;0.0;0.0;-0.0008652583840553745;0.8652583840553745
116.0;0.0;0.0;-0.0008727175080558518;0.8727175080558518
117.0;0.0;0.0;-0.0008801766320563291;0.8801766320563291
118.0;0.0;0.0;-0.0008876357560568065;0.8876357560568064
119.0;0.0;0.0;-0.0008950948800572838;0.8950948800572838
120.0;0.0;0.0;-0.0009025540040577611;0.9025540040577611
121.0;0.0;0.0;-0.0009100131280582385;0.9100131280582385
122.0;0.0;0.0;-0.0009174722520587158;0.9174722520587159
123.0;0.0;0.0;-0.0009249313760591932;0.9249313760591932
124.0;0.0;0.0;-0.0009323905000596705;0.9323905000596705
125.0;0.0;0.0;-0.0009398496240601478;0.9398496240601478
126.0;0.0;0.0;-0.0009473087480606252;0.9473087480606251
127.0;0.0;0.0;-0.0009547678720611025;0.9547678720611025
128.0;0.0;0.0;-0.0009622269960615798;0.9622269960615798
129.0;0.0;0.0;-0.0009696861200620572;0.9696861200620572
130.0;0.0;0.0;-0.0009771452440625345;0.9771452440625346
131.0;0.0;0.0;-0.000984604368063012;0.984604368063012
132.0;0.0;0.0;-0.0009920634920634894;0.9920634920634894
133.0;0.0;0.0;-0.0009995226160639669;0.9995226160639669
134.0;0.0;0.0;-0.0010069817400644443;1.0069817400644443
135.0;0.0;0.0;-0.0010144408640649217;1.0144408640649218
136.0;0.0;0.0;-0.0010218999880653992;1.0218999880653992
137.0;0.0;0.0;-0.0010293591120658766;1.0293591120658767
138.0;0.0;0.0;-0.001036818236066354;1.036818236066354
139.0;0.0;0.0;-0.0010442773600668315;1.0442773600668316
140.0;0.0;0.0;-0.001051736484067309;1.051736484067309
141.0;0.0;0.0;-0.0010591956080677864;1.0591956080677865
142.0;0.0;0.0;-0.0010666547320682639;1.0666547320682638
143.0;0.0;0.0;-0.0010741138560687413;1.0741138560687413
144.0;0.0;0.0;-0.0010815729800692188;1.0815729800692186
145.0;0.0;0.0;-0.0010890321040696962;1.0890321040696962
146.0;0.0;0.0;-0.0010964912280701736;1.0964912280701737
147.0;0.0;0.0;-0.001103950352070651;1.103950352070651
148.0;0.0;0.0;-0.0011114094760711285;1.1114094760711286
149.0;0.0;0.0;-0.001118868600071606;1.118868600071606
150.0;0.0;0.0;-0.0011263277240720834;1.1263277240720835
151.0;0.0;0.0;-0.0011337868480725609;1.1337868480725608
