;temps (s);speed (m/s);power_shaft (W);fuel_cumul (m^3)
106;33915.0;0.0;0.0;-0.0007981262680510784
107;33915.0;0.0;0.0;-0.0008055853920515558
108;33915.0;0.0;0.0;-0.0008130445160520331
109;33915.0;0.0;0.0;-0.0008205036400525104
110;33915.0;0.0;0.0;-0.0008279627640529878
111;33915.0;0.0;0.0;-0.0008354218880534651
112;33915.0;0.0;0.0;-0.0008428810120539424
113;33915.0;0.0;0.0;-0.0008503401360544198
114;33915.0;0.0;0.0;-0.0008577992600548971
115;33915.0;0.0;0.0;-0.0008652583840553745
116;33915.0;0.0;0.0;-0.0008727175080558518
117;33915.0;0.0;0.0;-0.0008801766320563291
118;33915.0;0.0;0.0;-0.0008876357560568065
119;33915.0;0.0;0.0;-0.0008950948800572838
120;33915.0;0.0;0.0;-0.0009025540040577611
121;33915.0;0.0;0.0;-0.0009100131280582385
122;33915.0;0.0;0.0;-0.0009174722520587158
123;33915.0;0.0;0.0;-0.0009249313760591932
124;33915.0;0.0;0.0;-0.0009323905000596705
125;33915.0;0.0;0.0;-0.0009398496240601478
126;33915.0;0.0;0.0;-0.0009473087480606252
127;33915.0;0.0;0.0;-0.0009547678720611025
128;33915.0;0.0;0.0;-0.0009622269960615798
129;33915.0;0.0;0.0;-0.0009696861200620572
130;33915.0;0.0;0.0;-0.0009771452440625345
131;33915.0;0.0;0.0;-0.000984604368063012
132;33915.0;0.0;0.0;-0.0009920634920634894
133;33915.0;0.0;0.0;-0.0009995226160639669
134;33915.0;0.0;0.0;-0.0010069817400644443
135;33915.0;0.0;0.0;-0.0010144408640649217
136;33915.0;0.0;0.0;-0.0010218999880653992
137;33915.0;0.0;0.0;-0.0010293591120658766
138;33915.0;0.0;0.0;-0.001036818236066354
139;33915.0;0.0;0.0;-0.0010442773600668315
140;33915.0;0.0;0.0;-0.001051736484067309
141;33915.0;0.0;0.0;-0.0010591956080677864
142;33915.0;0.0;0.0;-0.0010666547320682639
143;33915.0;0.0;0.0;-0.0010741138560687413
144;33915.0;0.0;0.0;-0.0010815729800692188
145;33915.0;0.0;0.0;-0.0010890321040696962
146;33915.0;0.0;0.0;-0.0010964912280701736
147;33915.0;0.0;0.0;-0.001103950352070651
148;33915.0;0.0;0.0;-0.0011114094760711285
149;33915.0;0.0;0.0;-0.001118868600071606
150;33915.0;0.0;0.0;-0.0011263277240720834
151;33915.0;0.0;0.0;-0.0011337868480725609
152;33915.0;0.0;0.0;-0.0011412459720730383
153;33915.0;0.0;0.0;-0.0011487050960735158
154;33915.0;0.0;0.0;-0.0011561642200739932
155;33915.0;0.0;0.0;-0.0011636233440744707
156;33915.0;0.0;0.0;-0.001171082468074948
157;33915.0;0.0;0.0;-0.0011785415920754255
158;33915.0;0.0;0.0;-0.001186000716075903
159;33915.0;0.0;0.0;-0.0011934598400763804
