time_s;profile_speed_m_per_s;converter_motor_out_W;storage_fuel_tank_v_stock_l
0.0;0.0;0.0;999.9749669012186
1.0;0.0;0.0;999.9499338024375
2.0;0.0;0.0;999.9249007036562
3.0;0.0;0.0;999.8998676048751
4.0;0.0;0.0;999.8748345060939
5.0;0.0;0.0;999.8498014073127
6.0;0.0;0.0;999.8247683085314
7.0;0.0;0.0;999.7997352097502
8.0;0.0;0.0;999.7747021109689
9.0;0.0;0.0;999.7496690121875
10.0;0.0;0.0;999.7246359134064
11.0;0.0;0.0;999.6996028146253
12.0;0.0;0.0;999.674569715844
13.0;0.0;0.0;999.649536617063
14.0;0.0;0.0;999.6245035182816
15.0;0.0;0.0;999.5994704195002
16.0;0.0;0.0;999.5744373207191
17.0;0.0;0.0;999.5494042219377
18.0;0.0;0.0;999.5243711231564
19.0;0.0;0.0;999.4993380243754
20.0;0.0;0.0;999.4743049255942
21.0;0.0;0.0;999.4492718268128
22.0;0.0;0.0;999.4242387280318
23.0;0.0;0.0;999.3992056292504
24.0;0.0;0.0;999.3741725304691
25.0;0.0;0.0;999.349139431688
26.0;0.0;0.0;999.3241063329068
27.0;0.0;0.0;999.2990732341256
28.0;0.0;0.0;999.2740401353443
29.0;0.0;0.0;999.2490070365631
30.0;0.0;0.0;999.2239739377818
31.0;0.0;0.0;999.1989408390007
32.0;0.0;0.0;999.1739077402193
33.0;0.0;0.0;999.1488746414379
34.0;0.0;0.0;999.123841542657
35.0;0.0;0.0;999.0988084438757
36.0;0.0;0.0;999.0737753450944
37.0;0.0;0.0;999.0487422463132
38.0;0.0;0.0;999.0237091475319
39.0;0.0;0.0;998.9986760487507
40.0;0.0;0.0;998.9736429499695
41.0;0.0;0.0;998.9486098511882
42.0;0.0;0.0;998.9235767524071
43.0;0.0;0.0;998.8985436536259
44.0;0.0;0.0;998.8735105548445
45.0;0.0;0.0;998.8484774560633
46.0;0.0;0.0;998.823444357282
47.0;0.0;0.0;998.7984112585009
48.0;0.0;0.0;998.7733781597195
49.0;0.0;0.0;998.7483450609384
50.0;0.0;0.0;998.7233119621573
51.0;0.0;0.0;998.698278863376
52.0;0.0;0.0;998.6732457645948
53.0;0.0;0.0;998.6482126658134
54.0;0.0;0.0;998.6231795670321
55.0;0.0;0.0;998.5981464682509
56.0;0.0;0.0;998.5731133694698
57.0;0.0;0.0;998.5480802706885
58.0;0.0;0.0;998.5230471719075
59.0;0.0;0.0;998.4980140731261
60.0;0.0;0.0;998.4729809743449
61.0;0.0;0.0;998.4479478755636
62.0;0.0;0.0;998.4229147767822
63.0;0.0;0.0;998.397881678001
64.0;0.0;0.0;998.3728485792199
65.0;0.0;0.0;998.3478154804387
66.0;0.0;0.0;998.3227823816574
67.0;0.0;0.0;998.2977492828763
68.0;0.0;0.0;998.272716184095
69.0;0.0;0.0;998.2476830853137
70.0;0.0;0.0;998.2226499865325
71.0;0.0;0.0;998.1976168877511
72.0;0.0;0.0;998.1725837889699
73.0;0.0;0.0;998.147550690189
74.0;0.0;0.0;998.1225175914076
75.0;0.0;0.0;998.0974844926264
76.0;0.0;0.0;998.0724513938452
77.0;0.0;0.0;998.0474182950638
78.0;0.0;0.0;998.0223851962826
79.0;0.0;0.0;997.9973520975013
80.0;0.0;0.0;997.9723189987203
81.0;0.0;0.0;997.947285899939
82.0;0.0;0.0;997.9222528011578
83.0;0.0;0.0;997.8972197023764
84.0;0.0;0.0;997.8721866035953
85.0;0.0;0.0;997.8471535048141
86.0;0.0;0.0;997.8221204060327
87.0;0.0;0.0;997.7970873072514
88.0;0.0;0.0;997.7720542084705
89.0;0.0;0.0;997.7470211096892
90.0;0.0;0.0;997.7219880109078
91.0;0.0;0.0;997.6969549121267
92.0;0.0;0.0;997.6719218133454
93.0;0.0;0.0;997.6468887145642
94.0;0.0;0.0;997.6218556157829
95.0;0.0;0.0;997.5968225170016
96.0;0.0;0.0;997.5717894182205
97.0;0.0;0.0;997.5467563194394
98.0;0.0;0.0;997.521723220658
99.0;0.0;0.0;997.4966901218767
100.0;0.0;0.0;997.4716570230955
101.0;0.0;0.0;997.4466239243143
102.0;0.0;0.0;997.421590825533
103.0;0.0;0.0;997.3965577267518
104.0;0.0;0.0;997.3715246279708
105.0;0.0;0.0;997.3464915291894
106.0;0.0;0.0;997.3214584304083
107.0;0.0;0.0;997.2964253316269
108.0;0.0;0.0;997.2713922328455
109.0;0.0;0.0;997.2463591340645
110.0;0.0;0.0;997.2213260352831
111.0;0.0;0.0;997.196292936502
112.0;0.0;0.0;997.1712598377209
113.0;0.0;0.0;997.1462267389396
114.0;0.0;0.0;997.1211936401583
115.0;0.0;0.0;997.0961605413771
116.0;0.0;0.0;997.0711274425958
117.0;0.0;0.0;997.0460943438145
118.0;0.0;0.0;997.0210612450334
119.0;0.0;0.0;996.9960281462521
120.0;0.0;0.0;996.970995047471
121.0;0.0;0.0;996.9459619486897
122.0;0.0;0.0;996.9209288499085
123.0;0.0;0.0;996.8958957511271
124.0;0.0;0.0;996.870862652346
125.0;0.0;0.0;996.8458295535646
126.0;0.0;0.0;996.8207964547834
127.0;0.0;0.0;996.7957633560023
128.0;0.0;0.0;996.7707302572212
129.0;0.0;0.0;996.7456971584398
130.0;0.0;0.0;996.7206640596586
131.0;0.0;0.0;996.6956309608773
132.0;0.0;0.0;996.670597862096
133.0;0.0;0.0;996.6455647633148
134.0;0.0;0.0;996.6205316645336
135.0;0.0;0.0;996.5954985657525
136.0;0.0;0.0;996.5704654669712
137.0;0.0;0.0;996.5454323681901
138.0;0.0;0.0;996.5203992694087
139.0;0.0;0.0;996.4953661706274
140.0;0.0;0.0;996.4703330718462
141.0;0.0;0.0;996.4452999730648
142.0;0.0;0.0;996.4202668742838
143.0;0.0;0.0;996.3952337755026
144.0;0.0;0.0;996.3702006767213
145.0;0.0;0.0;996.3451675779401
146.0;0.0;0.0;996.3201344791589
